,date,open,close,polarity,subjectivity,neg,neu,pos,compound,change,direction
0,2022-04-11,326.8,325.31,0.08018030928585775,0.2769885898776205,0.026002747252747253,0.8824271978021978,0.0915728021978022,0.2082118131868132,-1.490000000000009,down
1,2022-04-12,332.547,328.983,0.10586305551415838,0.2980629926955169,0.030610389610389612,0.8816666666666667,0.08772727272727272,0.18748989898989898,-3.5640000000000214,down
2,2022-04-13,327.025,340.79,0.09739364930069103,0.3131991764858754,0.03375111773472429,0.8858479880774963,0.08040089418777943,0.14398941877794336,13.765000000000043,up
3,2022-04-14,333.097,328.333,0.07029255364871308,0.2908372734820198,0.0593768115942029,0.8640652173913044,0.07656086956521739,0.0942559420289855,-4.763999999999953,down
4,2022-04-18,329.677,334.763,0.11709579571077462,0.2809771453737699,0.024601969057665263,0.8704711673699015,0.1049240506329114,0.22325344585091422,5.085999999999956,up
5,2022-04-19,335.02,342.717,0.11645965556929842,0.28096041202844774,0.02763857142857143,0.8779042857142857,0.09446285714285714,0.2024087142857143,7.697000000000003,up
6,2022-04-20,343.333,325.733,0.08227314635025902,0.25371495726495724,0.031246478873239433,0.885230985915493,0.08351830985915493,0.13815450704225352,-17.600000000000023,down
7,2022-04-21,358.243,336.26,0.0902305989349864,0.2727082231374494,0.034833568406205925,0.8732863187588152,0.09189703808180535,0.14504668547249647,-21.983000000000004,down
8,2022-04-22,338.303,335.017,0.0801440964344647,0.28690998597195483,0.03826345609065156,0.8745538243626062,0.08719121813031162,0.12169957507082153,-3.2860000000000014,down
9,2022-04-25,326.323,332.673,0.09696287365616894,0.293669911229469,0.04137375178316691,0.8702310984308131,0.08839942938659058,0.16466162624821684,6.350000000000023,up
10,2022-04-26,331.81,292.14,0.07093657427978968,0.27083129110248083,0.03286158631415241,0.8933716951788492,0.07376360808709176,0.13593157076205287,-39.670000000000016,down
11,2022-04-29,300.75,290.253,0.06622721722721724,0.25270956820956825,0.04378461538461539,0.8719384615384616,0.08427692307692307,0.1260830769230769,-10.497000000000014,down
12,2022-05-02,286.923,300.98,0.10180481121463528,0.3118437697579926,0.037111436950146626,0.8698313782991203,0.09305425219941349,0.18793621700879767,14.057000000000016,up
13,2022-05-03,301.06,303.083,0.09037422362579485,0.2825528730076565,0.03356005586592179,0.8792807262569833,0.08713966480446927,0.1519558659217877,2.0230000000000246,up
14,2022-05-04,301.313,317.54,0.06574599010807113,0.24011659875661273,0.03537430167597765,0.8966703910614524,0.06795111731843576,0.0992086592178771,16.227000000000032,up
15,2022-05-05,313.07,291.093,0.14895790047651322,0.2812237093089148,0.025488011283497886,0.8887771509167842,0.08573201692524683,0.22928561354019747,-21.976999999999975,down
16,2022-05-06,295.667,288.55,0.10915565506679334,0.2563039474233608,0.029175977653631287,0.9002555865921787,0.07056564245810056,0.1387854748603352,-7.116999999999962,down
